Requirement ID,Requirement Theme,Requirement Description
BUDDY-001,Access Control,"The ICA agent (Buddy) must authenticate users via IBMid/SSO only. No anonymous access is permitted to the agent or the GitHub repository it connects to."
BUDDY-002,Access Control,"The GitHub Integration Suite tool connected to the agent must operate in read-only mode. No write or administrative operations are permitted through the agent."
BUDDY-003,Access Control,"API keys used to authenticate Bob Shell in CI/CD pipelines must be stored as encrypted GitHub Actions secrets and never hardcoded in source code or workflow files."
BUDDY-004,Data Protection,"The agent must never reproduce or display secrets, API keys, passwords, tokens, or credentials found in the repository code or commit history."
BUDDY-005,Data Protection,"No real customer data or production data must be accessible or surfaced through the agent even if present in logs or test files."
BUDDY-006,Data Protection,"Storing a full JPA entity object in HttpSession must be flagged as a data serialization and exposure risk. Session should store minimal identifiers only."
BUDDY-007,AI Safety,"The agent instructions must explicitly prevent prompt injection attacks. User inputs must not be able to override agent behavior or alter tool usage scope."
BUDDY-008,AI Safety,"The agent must not execute code or run commands based on user input. All tool usage must be constrained to read operations defined in the system prompt."
BUDDY-009,AI Safety,"The agent must never hallucinate technical information not present in the repository. If information is missing it must say so explicitly rather than generating unverified content."
BUDDY-010,Application Security,"Passwords stored in plain text in AdminServices and UserServices must be flagged as a critical security finding. BCryptPasswordEncoder is declared but not applied and this gap must be surfaced to developers."
BUDDY-011,Application Security,"CSRF protection is globally disabled in SecurityConfig. This must be flagged as a high-severity security gap in every automated audit report."
BUDDY-012,Application Security,"Hardcoded admin credentials seeded by DataLoader on startup must be flagged and documented as a known security risk requiring remediation before any production deployment."
BUDDY-013,Secure Development,"The CI/CD pipeline must include a dependency vulnerability scan such as OWASP Dependency-Check to detect CVEs in Maven dependencies before merging to main."
BUDDY-014,Secure Development,"Bob Shell installed via curl in CI must include integrity verification such as SHA-256 checksum to protect against supply chain attacks on the install script."
BUDDY-015,Secure Development,"Chromium installed in the CI runner for PDF generation must use a pinned version to prevent version drift and unvetted updates introducing vulnerabilities."
BUDDY-016,Monitoring and Auditing,"Every CI workflow run must produce a traceable audit summary including trigger type, commit SHA, author identity, and list of changed files."
BUDDY-017,Monitoring and Auditing,"Agent interactions in ICA must be logged at the platform level. No sensitive data must appear in GitHub Actions step summaries or workflow logs."
BUDDY-018,Vulnerability Management,"The automated audit skill must run on every push to main and report all critical and high security findings with remediation priorities."
BUDDY-019,Third-Party Security,"The Bob Shell API key must be scoped to Inference operations only and subject to a defined rotation policy with a maximum validity of 90 days."
BUDDY-020,Environment Separation,"Google OAuth2 credentials in application.properties must remain as placeholders in all committed code. Real credentials must only be injected at runtime via environment variables."
